Nama Restoran,Jenis Makanan,Alamat,Harga,Rating,Timestamp
Peacock Lounge - Fairmont Jakarta,Kafe,"Fairmont Jakarta, Lantai Ground
Jl. Asia Afrika No. 8, Senayan, Jakarta Selatan",200000,4.3,2025-06-03 22:22:21.662554
Lebanon Restaurant,Arab/Timur Tengah,"Jl. KH Ahmad Dahlan No. 25, Gandaria, Jakarta Selatan",150000,4.29,2025-06-03 22:22:21.856874
Midaz Senayan Golf,Lounge,"Senayan Avenue
Jl. Asia Afrika Pintu IX, Senayan, Jakarta Selatan",200000,4.55,2025-06-03 22:22:22.009557
Pizzeria Cavalese Alta,Italia,"Grand Indonesia Mall, Lantai Lower Ground, East Mall
Jl. MH Thamrin, Thamrin, Jakarta Pusat",150000,4.49,2025-06-03 22:22:22.091852
Milky Way,Kafe,"Pondok Indah Mall 2, Lantai 1
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",75000,4.6,2025-06-03 22:22:22.256574
Putu Made,Indonesia,"Senayan Park Mall, Lantai Ground
Jl. Gerbang Pemuda No. 3, Senayan, Jakarta Selatan",150000,4.4,2025-06-03 22:22:22.503899
Angke Restaurant,China,"Ruko Arcade, Unit PG-PH-TE
Jl. Pantai Indah Utara II, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",150000,4.25,2025-06-03 22:22:22.779241
Nidcielo,Spanyol,"Soho, Lantai 2
Jl. Gunawarman No. 61, Senopati, Kebayoran Baru, Jakarta Selatan",150000,4.41,2025-06-03 22:22:22.968437
Botanica,"Barat,Spanyol","ASHTA District 8, Lantai Ground
Jl. Jenderal Sudirman Kav. 52 - 53, SCBD, Kebayoran Baru, Jakarta Selatan",200000,4.19,2025-06-03 22:22:23.058497
Solaria,,"Senayan Park Mall, Lantai 1
Jl. Gerbang Pemuda No. 3, Senayan, Jakarta Selatan",75000,4.38,2025-06-03 22:22:23.152250
Ini Gelato,Es Krim,"Paradox Space
Jl. Kelapa Cengkir Raya Blok FH No. 12A, Kelapa Gading, Jakarta Utara",50000,4.33,2025-06-03 22:22:23.395350
Remboelan,Indonesia,"Plaza Senayan, Lantai 3
Jl. Asia Afrika, Senayan, Jakarta Selatan",75000,4.17,2025-06-03 22:22:27.363265
Gelato Secrets,Es Krim,"Setiabudi One, Lantai Ground
Jl. HR Rasuna Said, Setiabudi, Jakarta Selatan",50000,4.18,2025-06-03 22:22:27.557608
Ambiente Ristorante - Hotel Aryaduta Menteng,Italia,"Hotel Aryaduta Menteng, Lantai 2
Jl. Prajurit KKO Usman & Harun No. 44 - 48, Menteng, Jakarta Pusat",200000,4.19,2025-06-03 22:22:27.713244
Kyo Coffee,Kafe,"Jl. Wirajasa Blok ZN No. 1, Makasar, Jakarta Timur",50000,4.26,2025-06-03 22:22:27.813861
Momo Paradise,Jepang,"Jl. Senopati No. 92, Senopati, Kebayoran Baru, Jakarta Selatan",200000,4.28,2025-06-03 22:22:27.906826
Sentosa Seafood,Indonesia,"Parkir Timur Gelora Bung Karno, Parking Elevated, Lantai 4
Jl. Pintu Satu Senayan, Senayan, Jakarta Selatan",75000,4.5,2025-06-03 22:22:28.080201
Sana Sini Restaurant - Hotel Pullman Thamrin,"Indonesia, China, Jepang","Hotel Pullman Thamrin, Lantai Lobby
Jl. MH Thamrin No. 59, Thamrin, Jakarta Pusat",200000,4.27,2025-06-03 22:22:28.257677
Artisan Social Affair,Kafe,"Mall of Indonesia, Lantai Ground
Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta Utara",75000,4.28,2025-06-03 22:22:28.498378
Hakuna Matata,Kafe,"Jl. Pertengahan No. 5 (Depan MTSN 33), Cijantung, Jakarta Timur",75000,4.22,2025-06-03 22:22:28.768936
Matcha Bae,Kafe,"Jl. Kelapa Hibrida Raya Blok QJ9 No. 37, Kelapa Gading, Jakarta Utara",50000,4.21,2025-06-03 22:22:29.038258
Pan & Co.,Kafe,"Pondok Indah Mall 1, Lantai 2
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",75000,4.21,2025-06-03 22:22:29.309552
Loaf Bun Korean Bakery,"Toko Roti,Kafe","Jl. Pluit Karang Indah Timur Blok B8 Timur No. 108, Muara Karang, Penjaringan, Jakarta Utara",50000,4.73,2025-06-03 22:22:29.579403
D' Bollywood,India,"Plaza Festival, Lantai Upper Ground
Jl. HR Rasuna Said, Kuningan, Jakarta Selatan",75000,4.19,2025-06-03 22:22:33.243954
Sake+,Jepang,"Plaza Senayan Arcadia, Lantai 1
Jl. New Delhi Pintu 1 Senayan, Senayan, Jakarta Selatan",200000,4.21,2025-06-03 22:22:33.651889
Putu Made+ Dine & Bar,Indonesia,"PIK Avenue, Lantai 1
Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",150000,4.18,2025-06-03 22:22:33.910802
